S.No	Name	Language	Role	Availability	Busy
1	A1	Tamil	sale	Yes	0
2	A2	Tamil	support	Yes	0
3	A3	Tamil	technical	Yes	0
4	A4	Tamil	financial	Yes	0
5	A5	Tamil	sale	Yes	0
6	A6	Telugu	sale	Yes	0
7	A7	Telugu	support	Yes	0
8	A8	Telugu	technical	Yes	0
9	A9	Telugu	financial	Yes	0
10	A10	Telugu	support	Yes	0
11	A11	Hindi	sale	Yes	0
12	A12	Hindi	support	Yes	0
13	A13	Hindi	technical	Yes	0
14	A14	Hindi	financial	Yes	0
15	A15	Hindi	technical	Yes	0
16	A16	Malayalam	sale	Yes	0
17	A17	Malayalam	support	Yes	0
18	A18	Malayalam	technical	Yes	0
19	A19	Malayalam	financial	Yes	0
20	A20	Malayalam	financial	Yes	0
21	A21	Kannada	sale	Yes	0
22	A22	Kannada	support	Yes	0
23	A23	Kannada	technical	Yes	0
24	A24	Kannada	financial	Yes	0
25	A25	Kannada	sale	Yes	0
26	A26	Marati	sale	Yes	0
27	A27	Marati	support	Yes	0
28	A28	Marati	technical	Yes	0
29	A29	Marati	financial	Yes	0
30	A30	Marati	support	Yes	0
31	A31	Gujarati	sale	Yes	0
32	A32	Gujarati	support	Yes	0
33	A33	Gujarati	technical	Yes	0
34	A34	Gujarati	financial	Yes	0
35	A35	Gujarati	technical	Yes	0
36	A36	Odissi	sale	Yes	0
37	A37	Odissi	support	Yes	0
38	A38	Odissi	technical	Yes	0
39	A39	Odissi	financial	Yes	0
40	A40	Odissi	financial	Yes	0
41	A41	Punjabi	sale	Yes	0
42	A42	Punjabi	support	Yes	0
43	A43	Punjabi	technical	Yes	0
44	A44	Punjabi	financial	Yes	0
45	A45	Punjabi	sale	Yes	0
46	A46	Bengali	sale	Yes	0
47	A47	Bengali	support	Yes	0
48	A48	Bengali	technical	Yes	0
49	A49	Bengali	financial	Yes	0
50	A50	Bengali	technical	Yes	0
